case,k,rank_source,point_id,num_observation,noise_std,rel_l2,reliability_raw_recal,training_stability_recal,structural_stability_recal,set_relation
stokes_poiseuille,10,rel_l2_topk,obs6_noise200,6,0.2,0.0516169555485248,0.2790090840009687,0.3461669822581711,0.573899051300346,overlap
stokes_poiseuille,10,rel_l2_topk,obs8_noise175,8,0.175,0.0485267229378223,0.4304847153353903,0.7340372562526654,0.7049765082100687,overlap
stokes_poiseuille,10,rel_l2_topk,obs6_noise175,6,0.175,0.0483673773705959,0.368039758773961,0.5066664223322792,0.6890226531371281,overlap
stokes_poiseuille,10,rel_l2_topk,obs6_noise150,6,0.15,0.0452441722154617,0.4452142785914755,0.6296703806024737,0.7539883308400745,overlap
stokes_poiseuille,10,rel_l2_topk,obs8_noise150,8,0.15,0.0445965714752674,0.5608834783495058,0.8554388682064342,0.8035902203451382,overlap
stokes_poiseuille,10,rel_l2_topk,obs6_noise125,6,0.125,0.0422788485884666,0.5110321786914034,0.6944667803596655,0.7891812988900971,overlap
stokes_poiseuille,10,rel_l2_topk,obs8_noise125,8,0.125,0.0408814772963523,0.6918694080243172,0.9164052549887906,0.864517596765115,rel_only
stokes_poiseuille,10,rel_l2_topk,obs6_noise100,6,0.1,0.0394829995930194,0.5637341619110343,0.7139796344605636,0.7899197879444031,rel_only
stokes_poiseuille,10,rel_l2_topk,obs12_noise200,12,0.2,0.0377631522715091,0.4019578970611175,0.2694464512428685,0.3917411638563227,overlap
stokes_poiseuille,10,R_topk,obs6_noise200,6,0.2,0.0516169555485248,0.2790090840009687,0.3461669822581711,0.573899051300346,overlap
stokes_poiseuille,10,R_topk,obs8_noise200,8,0.2,0.0526181422173976,0.3101489293724224,0.54547496030042,0.576071285447203,overlap
stokes_poiseuille,10,R_topk,obs6_noise175,6,0.175,0.0483673773705959,0.368039758773961,0.5066664223322792,0.6890226531371281,overlap
stokes_poiseuille,10,R_topk,obs12_noise200,12,0.2,0.0377631522715091,0.4019578970611175,0.2694464512428685,0.3917411638563227,overlap
stokes_poiseuille,10,R_topk,obs8_noise175,8,0.175,0.0485267229378223,0.4304847153353903,0.7340372562526654,0.7049765082100687,overlap
