matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,reliability_raw_recal
refine_stokes_v1,stokes_poiseuille,12,0.1,0.1875,stokes_poiseuille_refine_stokes_v1_obs12_noise010,0.0320701673626899,0.8521752636151345,0.1182761341333389,0.0311183221638202,7.05718994140625e-05,0.0009581446585461,0.0016465883511831,0.5704479995036893,0.9504128921295636,0.9310169430279648,0.9568232197993202,0.0400393344461917,0.7380451832123422,0.6323418042216096,0.8286816758766433,0.6456560514334834,0.7111811786860197
refine_stokes_v1,stokes_poiseuille,10,0.1,0.15625,stokes_poiseuille_refine_stokes_v1_obs10_noise010,0.0303865447640419,0.8529476917672044,0.1185803711414337,0.0283140111714601,3.838539123535156e-05,0.0009086700864232,0.0018614234360624,0.5714315778836265,0.9508414621125456,0.9326739054421744,0.9568438216304708,0.0400393344461917,0.830225399878391,0.7604138900984809,0.876139954937207,0.9525738752602473,0.8548382800435814
refine_stokes_v1,stokes_poiseuille,8,0.1,0.125,stokes_poiseuille_refine_stokes_v1_obs8_noise010,0.0373924821615219,0.8517438294273169,0.1180014684796333,0.0306381750851869,4.798173904418945e-05,0.0007514455297102,0.001578360876666,0.5723852972226698,0.95222466981292,0.925527670458695,0.9568376802149828,0.0400393344461917,0.7663300367362569,0.9434365896847678,0.5926312848766723,0.9075801587930462,0.8024945175226857
refine_stokes_v1,stokes_poiseuille,6,0.1,0.09375,stokes_poiseuille_refine_stokes_v1_obs6_noise010,0.0394829995930194,0.8323552611822062,0.1323207169771194,0.0265487860888242,6.085634231567383e-05,0.000925877839699,0.0019014102263829,0.4986419680381277,0.9506859713823168,0.9232636658188486,0.9568294394895316,0.0400393344461917,0.27528308324288014,0.7139796344605636,0.47575414199629074,0.7899197879444031,0.5637341619110343
refine_stokes_v1,stokes_poiseuille,64,0.125,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise012,0.026004783809185,0.8621120394942513,0.1130760759115219,0.0260004755109548,4.047155380249024e-05,0.0008078481822195,0.0021988223511878,0.603088124364909,0.951702949795822,0.9368145972051408,0.956842486611133,0.0400393344461917,0.9461156867821121,0.8638957209100047,0.9500509451805437,0.945030523305631,0.9262732190445728
refine_stokes_v1,stokes_poiseuille,32,0.125,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise012,0.0241410620510578,0.8636699086394558,0.1124754473567009,0.0245330054312944,4.148483276367188e-05,0.0008053304208811,0.001873332296757,0.6075901318225683,0.95174486006954,0.9385028045067751,0.9568418381589398,0.0400393344461917,0.961672645137759,0.9002941816477739,0.9666322564910701,0.9409710153971511,0.9423925246684386
refine_stokes_v1,stokes_poiseuille,24,0.125,0.375,stokes_poiseuille_refine_stokes_v1_obs24_noise012,0.0281379502266645,0.8615938467257369,0.112561210989952,0.0284747835248708,7.30752944946289e-05,0.0008699710362676,0.0019254741076009,0.6035454135709158,0.9511790353956636,0.934829320895248,0.95682161704112,0.0400393344461917,0.9074663075757098,0.830394245976105,0.9215771512618038,0.6018866958439875,0.8153311001644015
refine_stokes_v1,stokes_poiseuille,16,0.125,0.25,stokes_poiseuille_refine_stokes_v1_obs16_noise012,0.02783097140491,0.8590410259829426,0.1144834086298942,0.0293634124100208,6.67572021484375e-05,0.0008017509962378,0.0019954713695148,0.5924517339032537,0.951768156920894,0.9351185511193296,0.9568256619882928,0.0400393344461917,0.8663601934548256,0.890776226921178,0.9264414086372457,0.7077420322878604,0.8478299653252774
refine_stokes_v1,stokes_poiseuille,12,0.125,0.1875,stokes_poiseuille_refine_stokes_v1_obs12_noise012,0.0331441685557365,0.850781147457248,0.1189014315605163,0.0320902578532695,7.37905502319336e-05,0.0009777938997831,0.0019066349596383,0.5661434471647967,0.9502196802761698,0.9299403032882548,0.956821159099771,0.0400393344461917,0.6720318514112205,0.555017506420256,0.7914796885257745,0.5890402723044443,0.6518923296654238
refine_stokes_v1,stokes_poiseuille,10,0.125,0.15625,stokes_poiseuille_refine_stokes_v1_obs10_noise012,0.0318016149103641,0.8511319424274053,0.1193892210721969,0.0298068020492792,3.784894943237305e-05,0.0009225799939854,0.0022586274051759,0.565706629554627,0.9506932240335546,0.9312837512066556,0.9568441649147836,0.0400393344461917,0.7678729747204724,0.690257736547735,0.8371175515251412,0.9543485833811555,0.812399211543626
refine_stokes_v1,stokes_poiseuille,8,0.125,0.125,stokes_poiseuille_refine_stokes_v1_obs8_noise012,0.0408814772963523,0.8479156416053883,0.119698591530323,0.0331548154354095,5.376338958740234e-05,0.0007394017818574,0.0019535169870121,0.560810849846767,0.9523036594167322,0.9217140774533932,0.9568339797046612,0.0400393344461917,0.5883023113870024,0.9164052549887906,0.39825246895636063,0.864517596765115,0.6918694080243172
refine_stokes_v1,stokes_poiseuille,6,0.125,0.09375,stokes_poiseuille_refine_stokes_v1_obs6_noise012,0.0422788485884666,0.8299081730680222,0.1335719674825668,0.0265441592782735,6.091594696044922e-05,0.0009191515983121,0.0022962822856422,0.4919447222448102,0.9507214046891744,0.9201371640035736,0.9568294013345312,0.0400393344461917,0.23488954191518463,0.6944667803596655,0.3255910936006663,0.7891812988900971,0.5110321786914034
refine_stokes_v1,stokes_poiseuille,64,0.15,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise015,0.0259935669600963,0.8622694908907323,0.1129566431045532,0.0259455684572458,3.9458274841308594e-05,0.0008127095766288,0.0026261171749888,0.6037755166436047,0.9516344260368792,0.9368248858284232,0.9568431350540224,0.0400393344461917,0.9475306489319896,0.792546831546034,0.950170966552457,0.9488260359189913,0.909768620737368
refine_stokes_v1,stokes_poiseuille,32,0.15,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise015,0.0241133961826562,0.8640331984489193,0.1121814996004104,0.0246010310947895,4.220008850097656e-05,0.0008123882003457,0.0022256162767654,0.6091018008214837,0.9516620678851574,0.938527544666658,0.9568413804223784,0.0400393344461917,0.9630669005040347,0.8576102684839838,0.9668331082396924,0.9379380321182939,0.9313620773365012
refine_stokes_v1,stokes_poiseuille,24,0.15,0.375,stokes_poiseuille_refine_stokes_v1_obs24_noise015,0.0289832297712564,0.8615440479467698,0.1122914478182792,0.0291814394295215,7.992982864379883e-05,0.0008837192621711,0.0022780732225603,0.6042960026144173,0.951036257201627,0.934026703725253,0.956817228245782,0.0400393344461917,0.888576241203723,0.7705712766718563,0.9066294488194794,0.4755750572982779,0.7603380059983341
