experiment_name,case,label,budget_name,num_observation,noise_std,seed,run_name,epochs,num_collocation,num_boundary,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,crosses_threshold
budget_control_v1,stokes_poiseuille,failure_obs8_noise020,stronger_budget,8,0.2,52,stokes_poiseuille_failure_obs8_noise020_stronger_budget_seed52,1500,4096,512,0.04057200625538826,0.9321264745108307,0.03507063537836075,0.022051019594073296,0.00010752677917480469,6.821953856173595e-06,0.0015056815148581462,0.8916869179356296,0.9579599895587871,0.9220594362848883,0.9567995542640181,0.040039,1
budget_control_v1,stokes_poiseuille,failure_obs8_noise020,stronger_budget,8,0.2,53,stokes_poiseuille_failure_obs8_noise020_stronger_budget_seed53,1500,4096,512,0.03427679091691971,0.9316334679344428,0.03847745060920715,0.02398284152150154,6.878376007080078e-05,4.8263600202125626e-05,0.003723326697439415,0.8833892218442442,0.9575322035401004,0.9287880817616019,0.956824364591825,0.040039,0
budget_control_v1,burgers,safe_edge_obs64_noise005,baseline_budget,64,0.05,51,burgers_safe_edge_obs64_noise005_baseline_budget_seed51,500,2048,256,0.02093689702451229,0.9253173113925761,0.058659035712480545,0.013532443903386593,0.0015429258346557617,0.00024272203235523138,0.0016588500086105397,0.847831942883392,0.9562595763429832,0.9413070278097511,0.9558706985341783,0.025993,0
budget_control_v1,burgers,safe_edge_obs64_noise005,baseline_budget,64,0.05,52,burgers_safe_edge_obs64_noise005_baseline_budget_seed52,500,2048,256,0.02793923020362854,0.9338558861196047,0.04439055174589157,0.009444938972592354,0.0012561678886413574,4.561055077581242e-05,0.0020498321986452774,0.8866935586070119,0.957655526262634,0.935016688129312,0.9560577714794609,0.025993,1
budget_control_v1,burgers,safe_edge_obs64_noise005,baseline_budget,64,0.05,53,burgers_safe_edge_obs64_noise005_baseline_budget_seed53,500,2048,256,0.01796392723917961,0.9374317239861503,0.03954197093844414,0.011737439781427383,0.0005919337272644043,0.000408070056488494,0.001400872232462381,0.8944139410465752,0.9550234790945819,0.9438012782870128,0.9564881975164314,0.025993,0
budget_control_v1,burgers,safe_edge_obs64_noise005,stronger_budget,64,0.05,51,burgers_safe_edge_obs64_noise005_stronger_budget_seed51,1500,4096,512,0.013625703752040863,0.9435179607976233,0.024450689554214478,0.006035803351551294,0.0002237558364868164,0.0013339071869389997,0.0011076615442622791,0.9231925130078241,0.9468916982694051,0.9472625903368049,0.9567250415764589,0.025993,0
budget_control_v1,burgers,safe_edge_obs64_noise005,stronger_budget,64,0.05,52,burgers_safe_edge_obs64_noise005_stronger_budget_seed52,1500,4096,512,0.017932763323187828,0.9438360279898118,0.029625369235873222,0.0044815195724368095,0.0007233619689941406,2.497357132016055e-06,0.0016088761952575213,0.9171303262673297,0.9579835449488538,0.9438268886007437,0.9564033521423202,0.025993,0
budget_control_v1,burgers,safe_edge_obs64_noise005,stronger_budget,64,0.05,53,burgers_safe_edge_obs64_noise005_stronger_budget_seed53,1500,4096,512,0.008574331179261208,0.9473038162147556,0.0253593772649765,0.004248740617185831,0.00012409687042236328,2.2311050853215712e-06,0.0009962183057172145,0.9233637237729079,0.9580235263620089,0.9510390758021481,0.9567889389219575,0.025993,0
budget_control_v1,burgers,transition_obs48_noise005,baseline_budget,48,0.05,51,burgers_transition_obs48_noise005_baseline_budget_seed51,500,2048,256,0.031055575236678123,0.8665233339237548,0.05986471101641655,0.015509680844843388,0.0014415979385375977,0.009174816239133103,0.0033113567629982957,0.8425424031486913,0.7355941068954759,0.9320199369737722,0.9559368886770796,0.025993,1
budget_control_v1,burgers,transition_obs48_noise005,baseline_budget,48,0.05,52,burgers_transition_obs48_noise005_baseline_budget_seed52,500,2048,256,0.03694501146674156,0.931098351707756,0.04393057897686958,0.011719536036252975,0.0029909610748291016,2.7515994808770676e-05,0.002172762396904469,0.8857003785383529,0.9577744166967638,0.926004229302196,0.9549143822937114,0.025993,1
budget_control_v1,burgers,transition_obs48_noise005,baseline_budget,48,0.05,53,burgers_transition_obs48_noise005_baseline_budget_seed53,500,2048,256,0.009979190304875374,0.9411399437694036,0.03784865513443947,0.00904332660138607,6.479024887084961e-05,2.8865405956728884e-05,0.0012367042275957592,0.8998941999327644,0.9578233379578323,0.9500153159965776,0.9568269211904402,0.025993,0
