case,label,variant,n_seed,rel_l2_mean,rel_l2_std,r_mean,r_std,abs_cross_rate,relative_cross_rate,r_unreliable_rate,abs_majority,relative_majority,r_majority,variant_relative_threshold_rel_l2,absolute_threshold_rel_l2
fisher_kpp,safe_obs64_noise000,weight_balanced_v2,3,0.01640141475945703,0.002517595078243682,0.8469636635924775,0.09839567733802351,0.0,0.0,0.0,safe,safe,critical,0.023623382295901905,0.0188607699237763
fisher_kpp,transition_obs128_noise020,baseline,3,0.0213424762090047,0.002485602219396984,0.8453032221546412,0.031501734284234445,0.6666666666666666,0.6666666666666666,0.0,cross,cross,critical,0.0188607699237763,0.0188607699237763
fisher_kpp,transition_obs128_noise020,capacity_v1,3,0.019238668183485633,0.002675147337679889,0.8412265091470937,0.07502576904448557,0.6666666666666666,1.0,0.0,cross,cross,critical,0.014448185900576503,0.0188607699237763
fisher_kpp,transition_obs128_noise020,weight_balanced_v2,3,0.018900887419780032,0.0032606059813525593,0.8299283751101806,0.11086446202125545,0.6666666666666666,0.0,0.0,cross,safe,critical,0.023623382295901905,0.0188607699237763
poisson,degraded_obs8_noise020,baseline,3,0.12449188282092406,0.011356764514161764,0.5449626431380513,0.25524257477913465,0.0,0.0,0.6666666666666666,safe,safe,unreliable,0.1707783825695514,0.1707783825695514
poisson,degraded_obs8_noise020,capacity_v1,3,0.11885588864485418,0.01207098650708045,0.7481148516527104,0.243635768252416,0.0,0.0,0.3333333333333333,safe,safe,critical,0.16121424578779647,0.1707783825695514
poisson,degraded_obs8_noise020,weight_balanced_v2,3,0.12951199710369102,0.004537115734635663,0.45905049299249145,0.21132621035552263,0.0,0.0,0.6666666666666666,safe,safe,unreliable,0.1872487016601045,0.1707783825695514
poisson,safe_obs256_noise000,baseline,3,0.114024077852567,0.001349264156610202,0.8377112328190982,0.128609477565357,0.0,0.0,0.0,safe,safe,critical,0.1707783825695514,0.1707783825695514
poisson,safe_obs256_noise000,capacity_v1,3,0.10763836403687789,0.0017817377347440811,0.8372563358117701,0.15301345851483425,0.0,0.0,0.3333333333333333,safe,safe,critical,0.16121424578779647,0.1707783825695514
poisson,safe_obs256_noise000,weight_balanced_v2,3,0.12502086162567133,0.004405006125793379,0.49151428195819175,0.1763753559295319,0.0,0.0,1.0,safe,safe,unreliable,0.1872487016601045,0.1707783825695514
stokes_poiseuille,critical_obs8_noise0125,baseline,3,0.038870225350061995,0.003513604528951919,0.7932774199402823,0.11368567000626317,0.6666666666666666,0.6666666666666666,0.3333333333333333,cross,cross,reliable,0.0400393344461917,0.0400393344461917
stokes_poiseuille,critical_obs8_noise0125,capacity_v1,3,0.0342116417984167,0.0010604832136145617,0.9138049114156314,0.01538766506723991,0.0,1.0,0.0,safe,cross,reliable,0.025736551769230117,0.0400393344461917
stokes_poiseuille,critical_obs8_noise0125,weight_balanced_v2,3,0.03345500305294987,0.005640080509777654,0.9208195855176672,0.0560353562557937,0.0,0.0,0.0,safe,safe,reliable,0.04321565117626197,0.0400393344461917
stokes_poiseuille,failure_obs8_noise0175,baseline,3,0.0464640992383162,0.003030482093221074,0.5787007513287539,0.18081106888144102,1.0,1.0,0.6666666666666666,cross,cross,unreliable,0.0400393344461917,0.0400393344461917
stokes_poiseuille,failure_obs8_noise0175,capacity_v1,3,0.04268384352326387,0.0010017178846879898,0.6990258663927665,0.08245221939525728,1.0,1.0,0.6666666666666666,cross,cross,unreliable,0.025736551769230117,0.0400393344461917
stokes_poiseuille,failure_obs8_noise0175,weight_balanced_v2,3,0.03747257962822911,0.004699668649680118,0.8587039115423524,0.08612663959668586,0.3333333333333333,0.0,0.0,safe,safe,critical,0.04321565117626197,0.0400393344461917
stokes_poiseuille,safe_obs64_noise000,baseline,3,0.02115721659113957,0.007125504265308378,0.9671104753264249,0.041145416699831835,0.0,0.0,0.0,safe,safe,reliable,0.0400393344461917,0.0400393344461917
stokes_poiseuille,safe_obs64_noise000,capacity_v1,3,0.013599471809963334,0.0017339335646548136,0.9958100403823025,0.0002417473321333284,0.0,0.0,0.0,safe,safe,reliable,0.025736551769230117,0.0400393344461917
stokes_poiseuille,safe_obs64_noise000,weight_balanced_v2,3,0.022835616643230066,0.008003299910959154,0.982981646464068,0.011884051689462624,0.0,0.0,0.0,safe,safe,reliable,0.04321565117626197,0.0400393344461917
