config_label,case,low_q,high_q,intra_agg,inter_agg,selection_rule,n_selected,dominant_dimension,role_holds,spearman_rel_l2_vs_R,physics_consistency_count,training_stability_count,numerical_accuracy_count,structural_stability_count
q10-90|arithmetic|minimum,poisson,0.1,0.9,arithmetic,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.5764182424916574,0,0,4,4
q10-90|arithmetic|minimum,burgers,0.1,0.9,arithmetic,minimum,threshold_rel_l2,59,training_stability,True,-0.8326769807782466,9,23,19,8
q10-90|arithmetic|minimum,stokes_poiseuille,0.1,0.9,arithmetic,minimum,threshold_rel_l2,8,numerical_accuracy,True,-0.6978127136021873,0,0,8,0
q10-90|arithmetic|minimum,fisher_kpp,0.1,0.9,arithmetic,minimum,threshold_rel_l2,13,physics_consistency,False,-0.8553948832035595,7,2,2,2
q10-90|minimum|mean_equal,poisson,0.1,0.9,minimum,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.5866518353726362,0,1,4,3
q10-90|minimum|mean_equal,burgers,0.1,0.9,minimum,mean_equal,threshold_rel_l2,59,training_stability,True,-0.8892405063291139,15,30,8,6
q10-90|minimum|mean_equal,stokes_poiseuille,0.1,0.9,minimum,mean_equal,threshold_rel_l2,8,physics_consistency,False,-0.8308954203691046,8,0,0,0
q10-90|minimum|mean_equal,fisher_kpp,0.1,0.9,minimum,mean_equal,threshold_rel_l2,13,physics_consistency,False,-0.8776418242491657,6,6,1,0
q10-90|minimum|mean_nonphysics,poisson,0.1,0.9,minimum,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.6725250278086763,0,1,4,3
q10-90|minimum|mean_nonphysics,burgers,0.1,0.9,minimum,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.8714017815283638,15,30,8,6
q10-90|minimum|mean_nonphysics,stokes_poiseuille,0.1,0.9,minimum,mean_nonphysics,threshold_rel_l2,8,physics_consistency,False,-0.7892002734107997,8,0,0,0
q10-90|minimum|mean_nonphysics,fisher_kpp,0.1,0.9,minimum,mean_nonphysics,threshold_rel_l2,13,physics_consistency,False,-0.8763070077864293,6,6,1,0
q10-90|minimum|minimum,poisson,0.1,0.9,minimum,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.303670745272525,0,1,4,3
q10-90|minimum|minimum,burgers,0.1,0.9,minimum,minimum,threshold_rel_l2,59,training_stability,True,-0.7390295358649789,15,30,8,6
q10-90|minimum|minimum,stokes_poiseuille,0.1,0.9,minimum,minimum,threshold_rel_l2,8,physics_consistency,False,-0.7204374572795625,8,0,0,0
q10-90|minimum|minimum,fisher_kpp,0.1,0.9,minimum,minimum,threshold_rel_l2,13,physics_consistency,False,-0.8153503893214683,6,6,1,0
q15-85|geometric|mean_equal,poisson,0.15,0.85,geometric,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.5243604004449388,0,1,5,2
q15-85|geometric|mean_equal,burgers,0.15,0.85,geometric,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9211439287388654,9,23,12,15
q15-85|geometric|mean_equal,stokes_poiseuille,0.15,0.85,geometric,mean_equal,threshold_rel_l2,8,numerical_accuracy,True,-0.868215994531784,1,0,7,0
q15-85|geometric|mean_equal,fisher_kpp,0.15,0.85,geometric,mean_equal,threshold_rel_l2,13,training_stability,True,-0.9114571746384872,2,5,5,1
q15-85|geometric|mean_nonphysics,poisson,0.15,0.85,geometric,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.6062291434927698,0,1,5,2
q15-85|geometric|mean_nonphysics,burgers,0.15,0.85,geometric,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.9074542897327708,9,23,12,15
q15-85|geometric|mean_nonphysics,stokes_poiseuille,0.15,0.85,geometric,mean_nonphysics,threshold_rel_l2,8,numerical_accuracy,True,-0.8466165413533835,1,0,7,0
q15-85|geometric|mean_nonphysics,fisher_kpp,0.15,0.85,geometric,mean_nonphysics,threshold_rel_l2,13,training_stability,True,-0.9123470522803114,2,5,5,1
q15-85|geometric|minimum,poisson,0.15,0.85,geometric,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.37263626251390436,0,1,5,2
q15-85|geometric|minimum,burgers,0.15,0.85,geometric,minimum,threshold_rel_l2,59,training_stability,True,-0.8258087201125176,9,23,12,15
q15-85|geometric|minimum,stokes_poiseuille,0.15,0.85,geometric,minimum,threshold_rel_l2,8,numerical_accuracy,True,-0.7699248120300752,1,0,7,0
q15-85|geometric|minimum,fisher_kpp,0.15,0.85,geometric,minimum,threshold_rel_l2,13,training_stability,True,-0.8803114571746384,2,5,5,1
q15-85|arithmetic|mean_equal,poisson,0.15,0.85,arithmetic,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.6240266963292548,0,1,5,2
q15-85|arithmetic|mean_equal,burgers,0.15,0.85,arithmetic,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9430614158462259,9,23,12,15
q15-85|arithmetic|mean_equal,stokes_poiseuille,0.15,0.85,arithmetic,mean_equal,threshold_rel_l2,8,numerical_accuracy,True,-0.8665755297334244,0,0,8,0
q15-85|arithmetic|mean_equal,fisher_kpp,0.15,0.85,arithmetic,mean_equal,threshold_rel_l2,13,numerical_accuracy,True,-0.9154616240266963,2,2,5,4
q15-85|arithmetic|mean_nonphysics,poisson,0.15,0.85,arithmetic,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.7152391546162402,0,1,5,2
q15-85|arithmetic|mean_nonphysics,burgers,0.15,0.85,arithmetic,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.9340131270511017,9,23,12,15
q15-85|arithmetic|mean_nonphysics,stokes_poiseuille,0.15,0.85,arithmetic,mean_nonphysics,threshold_rel_l2,8,numerical_accuracy,True,-0.8449077238550923,0,0,8,0
q15-85|arithmetic|mean_nonphysics,fisher_kpp,0.15,0.85,arithmetic,mean_nonphysics,threshold_rel_l2,13,numerical_accuracy,True,-0.9123470522803114,2,2,5,4
q15-85|arithmetic|minimum,poisson,0.15,0.85,arithmetic,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.47408231368186876,0,1,5,2
q15-85|arithmetic|minimum,burgers,0.15,0.85,arithmetic,minimum,threshold_rel_l2,59,training_stability,True,-0.8707454289732771,9,23,12,15
q15-85|arithmetic|minimum,stokes_poiseuille,0.15,0.85,arithmetic,minimum,threshold_rel_l2,8,numerical_accuracy,True,-0.7691045796308954,0,0,8,0
q15-85|arithmetic|minimum,fisher_kpp,0.15,0.85,arithmetic,minimum,threshold_rel_l2,13,numerical_accuracy,True,-0.8838709677419355,2,2,5,4
q15-85|minimum|mean_equal,poisson,0.15,0.85,minimum,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.47408231368186876,0,2,4,2
q15-85|minimum|mean_equal,burgers,0.15,0.85,minimum,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9101031411157994,13,30,7,9
q15-85|minimum|mean_equal,stokes_poiseuille,0.15,0.85,minimum,mean_equal,threshold_rel_l2,8,physics_consistency,False,-0.8516062884483937,7,0,1,0
q15-85|minimum|mean_equal,fisher_kpp,0.15,0.85,minimum,mean_equal,threshold_rel_l2,13,training_stability,True,-0.8878754171301446,4,7,2,0
q15-85|minimum|mean_nonphysics,poisson,0.15,0.85,minimum,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.5519466073414906,0,2,4,2
q15-85|minimum|mean_nonphysics,burgers,0.15,0.85,minimum,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.8954992967651195,13,30,7,9
q15-85|minimum|mean_nonphysics,stokes_poiseuille,0.15,0.85,minimum,mean_nonphysics,threshold_rel_l2,8,physics_consistency,False,-0.8191387559808613,7,0,1,0
q15-85|minimum|mean_nonphysics,fisher_kpp,0.15,0.85,minimum,mean_nonphysics,threshold_rel_l2,13,training_stability,True,-0.885650723025584,4,7,2,0
q15-85|minimum|minimum,poisson,0.15,0.85,minimum,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.17552836484983314,0,2,4,2
q15-85|minimum|minimum,burgers,0.15,0.85,minimum,minimum,threshold_rel_l2,59,training_stability,True,-0.770042194092827,13,30,7,9
q15-85|minimum|minimum,stokes_poiseuille,0.15,0.85,minimum,minimum,threshold_rel_l2,8,physics_consistency,False,-0.7702665755297334,7,0,1,0
q15-85|minimum|minimum,fisher_kpp,0.15,0.85,minimum,minimum,threshold_rel_l2,13,training_stability,True,-0.8318131256952169,4,7,2,0
q20-80|geometric|mean_equal,poisson,0.2,0.8,geometric,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.38776418242491656,0,1,6,1
q20-80|geometric|mean_equal,burgers,0.2,0.8,geometric,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9242850445382091,10,23,10,16
q20-80|geometric|mean_equal,stokes_poiseuille,0.2,0.8,geometric,mean_equal,threshold_rel_l2,8,numerical_accuracy,True,-0.8745727956254272,2,0,6,0
q20-80|geometric|mean_equal,fisher_kpp,0.2,0.8,geometric,mean_equal,threshold_rel_l2,13,training_stability,True,-0.9101223581757508,1,5,3,4
q20-80|geometric|mean_nonphysics,poisson,0.2,0.8,geometric,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.51412680756396,0,1,6,1
q20-80|geometric|mean_nonphysics,burgers,0.2,0.8,geometric,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.9117674636661979,10,23,10,16
q20-80|geometric|mean_nonphysics,stokes_poiseuille,0.2,0.8,geometric,mean_nonphysics,threshold_rel_l2,8,numerical_accuracy,True,-0.8544087491455913,2,0,6,0
q20-80|geometric|mean_nonphysics,fisher_kpp,0.2,0.8,geometric,mean_nonphysics,threshold_rel_l2,13,training_stability,True,-0.9056729699666296,1,5,3,4
q20-80|geometric|minimum,poisson,0.2,0.8,geometric,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.21690767519466073,0,1,6,1
q20-80|geometric|minimum,burgers,0.2,0.8,geometric,minimum,threshold_rel_l2,59,training_stability,True,-0.8222691045475855,10,23,10,16
q20-80|geometric|minimum,stokes_poiseuille,0.2,0.8,geometric,minimum,threshold_rel_l2,8,numerical_accuracy,True,-0.7822966507177034,2,0,6,0
q20-80|geometric|minimum,fisher_kpp,0.2,0.8,geometric,minimum,threshold_rel_l2,13,training_stability,True,-0.8914349276974416,1,5,3,4
q20-80|arithmetic|mean_equal,poisson,0.2,0.8,arithmetic,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.6453837597330367,0,1,6,1
q20-80|arithmetic|mean_equal,burgers,0.2,0.8,arithmetic,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9488748241912799,7,23,11,18
q20-80|arithmetic|mean_equal,stokes_poiseuille,0.2,0.8,arithmetic,mean_equal,threshold_rel_l2,8,numerical_accuracy,True,-0.8732057416267942,0,0,8,0
q20-80|arithmetic|mean_equal,fisher_kpp,0.2,0.8,arithmetic,mean_equal,threshold_rel_l2,13,structural_stability,False,-0.9261401557285873,1,3,3,6
q20-80|arithmetic|mean_nonphysics,poisson,0.2,0.8,arithmetic,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.7063403781979978,0,1,6,1
q20-80|arithmetic|mean_nonphysics,burgers,0.2,0.8,arithmetic,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.9403891233005157,7,23,11,18
q20-80|arithmetic|mean_nonphysics,stokes_poiseuille,0.2,0.8,arithmetic,mean_nonphysics,threshold_rel_l2,8,numerical_accuracy,True,-0.8541353383458646,0,0,8,0
q20-80|arithmetic|mean_nonphysics,fisher_kpp,0.2,0.8,arithmetic,mean_nonphysics,threshold_rel_l2,13,structural_stability,False,-0.9123470522803114,1,3,3,6
q20-80|arithmetic|minimum,poisson,0.2,0.8,arithmetic,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.5314794215795328,0,1,6,1
q20-80|arithmetic|minimum,burgers,0.2,0.8,arithmetic,minimum,threshold_rel_l2,59,training_stability,True,-0.8731364275668073,7,23,11,18
q20-80|arithmetic|minimum,stokes_poiseuille,0.2,0.8,arithmetic,minimum,threshold_rel_l2,8,numerical_accuracy,True,-0.7746411483253588,0,0,8,0
q20-80|arithmetic|minimum,fisher_kpp,0.2,0.8,arithmetic,minimum,threshold_rel_l2,13,structural_stability,False,-0.885650723025584,1,3,3,6
q20-80|minimum|mean_equal,poisson,0.2,0.8,minimum,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.34771968854282537,0,1,6,1
q20-80|minimum|mean_equal,burgers,0.2,0.8,minimum,mean_equal,threshold_rel_l2,59,training_stability,True,-0.923722456633849,21,27,2,9
q20-80|minimum|mean_equal,stokes_poiseuille,0.2,0.8,minimum,mean_equal,threshold_rel_l2,8,physics_consistency,False,-0.8587833219412166,7,0,1,0
q20-80|minimum|mean_equal,fisher_kpp,0.2,0.8,minimum,mean_equal,threshold_rel_l2,13,training_stability,True,-0.8794215795328142,4,7,1,1
q20-80|minimum|mean_nonphysics,poisson,0.2,0.8,minimum,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.467853170189099,0,1,6,1
q20-80|minimum|mean_nonphysics,burgers,0.2,0.8,minimum,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.9062119081106423,21,27,2,9
q20-80|minimum|mean_nonphysics,stokes_poiseuille,0.2,0.8,minimum,mean_nonphysics,threshold_rel_l2,8,physics_consistency,False,-0.829254955570745,7,0,1,0
q20-80|minimum|mean_nonphysics,fisher_kpp,0.2,0.8,minimum,mean_nonphysics,threshold_rel_l2,13,training_stability,True,-0.8838709677419355,4,7,1,1
q20-80|minimum|minimum,poisson,0.2,0.8,minimum,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.1167964404894327,0,1,6,1
q20-80|minimum|minimum,burgers,0.2,0.8,minimum,minimum,threshold_rel_l2,59,training_stability,True,-0.7744960150023441,21,27,2,9
q20-80|minimum|minimum,stokes_poiseuille,0.2,0.8,minimum,minimum,threshold_rel_l2,8,physics_consistency,False,-0.7866163127654443,7,0,1,0
q20-80|minimum|minimum,fisher_kpp,0.2,0.8,minimum,minimum,threshold_rel_l2,13,training_stability,True,-0.8184649610678532,4,7,1,1
