case,label,strategy,metric,n_seed,baseline_mean,strategy_mean,delta_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,cohens_dz,ci_crosses_zero
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,physics_consistency_recal,5,0.6370220870557479,0.4299965018357995,-0.20702558521994838,0.24478291560272714,-0.4277696434974313,0.013326856512698071,-0.7564633838822088,1
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,training_stability_recal,5,0.5809676680134115,0.5306072260547919,-0.05036044195861944,0.19686563835172521,-0.24596421417650888,0.07840375856917359,-0.22880452381479582,1
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,numerical_accuracy_recal,5,0.7158150220517675,0.7671785620668288,0.05136354001506134,0.36968668077935113,-0.16663877951571976,0.42895417110495615,0.1242699540016783,1
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,structural_stability_recal,5,0.7245197513143993,0.7244480328505987,-7.171846380054081e-05,0.4109631636264621,-0.33037883595542306,0.4042872357156586,-0.0001560892795205658,1
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,rel_l2,5,0.04726530015468595,0.028007423505187,-0.019257876649498937,0.028977631438275787,-0.0485912948846817,-0.0027302533388138006,-0.5944160257860988,0
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,reliability_raw_recal,5,0.6645811321088315,0.8227788325084644,0.15819770039963282,0.2672625656629573,-0.03968147959906607,0.43397212586331824,0.5294281465872394,1
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,physics_consistency_recal,5,0.6370220870557479,0.6723439617343835,0.03532187467863561,0.04998983461679893,-0.0054700267667587175,0.08305750979795819,0.6319853904666936,1
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,training_stability_recal,5,0.5809676680134115,0.7775609465911921,0.1965932785777807,0.5295341431433577,-0.2337235519486557,0.6610034718408906,0.33206239145222527,1
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,numerical_accuracy_recal,5,0.7158150220517675,0.9204485886471312,0.20463356659536364,0.34060866068948975,0.017620884069202793,0.5497276039555107,0.5373610459102255,0
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,structural_stability_recal,5,0.7245197513143993,0.9207618330611507,0.19624208174675137,0.34069354323864975,0.009669881421987547,0.5398653442695112,0.5151968900384211,0
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,rel_l2,5,0.03610282391309732,0.036401817575097035,0.0002989936619997205,0.0009925549945831906,-0.00052676722407336,0.0012124445289373204,0.2694339988097999,1
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,reliability_raw_recal,5,0.8259858535510028,0.7907187389437365,-0.03526711460726641,0.02163383348583076,-0.05612808155601281,-0.017998079348054818,-1.458080292312007,0
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,physics_consistency_recal,5,0.8924979940953854,0.9081551190995812,0.01565712500419587,0.03926042816771407,-0.009137704447500394,0.05551876542433572,0.3566990730924789,1
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,training_stability_recal,5,0.8937609638557754,0.889889342147152,-0.0038716217086236073,0.010573761027551174,-0.013724139142717662,0.004833785823068659,-0.3274978241361383,1
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,numerical_accuracy_recal,5,0.6069811188836418,0.5910989315764407,-0.01588218730720118,0.050424991061982144,-0.06351386492932842,0.02508263180647311,-0.28171467918860293,1
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,structural_stability_recal,5,0.910703337369209,0.7737315629517723,-0.13697177441743663,0.10645432737304039,-0.23884573727766706,-0.05459217410280352,-1.1508341883477817,0
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,rel_l2,5,0.03610282391309732,0.034724630415439564,-0.0013781934976577592,0.008256868528408448,-0.006640492444857947,0.0070870250463485425,-0.1492931290504618,1
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,reliability_raw_recal,5,0.8259858535510028,0.8173577958122392,-0.008628057738763784,0.05673937768204741,-0.05549864288428907,0.04241284053671497,-0.13601082285943583,1
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,physics_consistency_recal,5,0.8924979940953854,0.8284154098922725,-0.06408258420311272,0.09866178583147245,-0.1610391365744758,0.009160203655821842,-0.5809463643675694,1
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,training_stability_recal,5,0.8937609638557754,0.8520745168368287,-0.04168644701894706,0.12714440435854077,-0.1529410196692703,0.06079603250448997,-0.29325310774023877,1
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,numerical_accuracy_recal,5,0.6069811188836418,0.6681092117217998,0.06112809283815803,0.24007145893048246,-0.18060183559247828,0.24551820325172252,0.22774314202942345,1
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,structural_stability_recal,5,0.910703337369209,0.9208320447980555,0.010128707428846685,0.12360408741492585,-0.10688722065032938,0.12303064352900968,0.07329362259382169,1
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,rel_l2,5,0.03610282391309732,0.035475656390190055,-0.0006271675229072585,0.0003685503648762576,-0.0009307019412517784,-0.00030415132641790075,-1.522059775978401,0
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,reliability_raw_recal,5,0.8259858535510028,0.8020980208888974,-0.02388783266210559,0.06259068059018927,-0.08664756347302685,0.009261938235764534,-0.3413595580935756,1
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,physics_consistency_recal,5,0.8924979940953854,0.7778112890436278,-0.11468670505175742,0.22340502612972504,-0.3392766231980378,0.006621949825970042,-0.45916114431962046,1
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,training_stability_recal,5,0.8937609638557754,0.8909210440660399,-0.0028399197897356785,0.004491617613377905,-0.006919911622301456,0.0008434197962075452,-0.5655204202229674,1
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,numerical_accuracy_recal,5,0.6069811188836418,0.6321000659506988,0.025118947067057085,0.0206122564670493,0.00905208541084892,0.044562635699308,1.0899859169702864,0
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,structural_stability_recal,5,0.910703337369209,0.9075596844952226,-0.0031436528739863913,0.02002145630182599,-0.018258864465595215,0.015266977075469224,-0.14043776672239486,1
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,rel_l2,5,0.03661385551095002,0.03732991665601726,0.0007160611450672385,0.0012395816241765408,-0.0004326134920119823,0.0018827021121979204,0.5166780033482158,1
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,reliability_raw_recal,5,0.5580775056023028,0.5342270376244871,-0.02385046797781578,0.014773766815702964,-0.038388865614070664,-0.012460307736088472,-1.4439450238754952,0
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,physics_consistency_recal,5,0.7036360466087763,0.7158745126386948,0.012238466029918427,0.05004148259550282,-0.0334843474713183,0.05782702245550614,0.21874685212207473,1
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,training_stability_recal,5,0.2924176234383332,0.30312522540716474,0.010707601968831585,0.033916563805582445,-0.014916088291807739,0.04344834356047578,0.2823744293857641,1
